comparison,coordinate,count
exact_netcdf_only,2014-12-16 12:00:00,1
exact_kerchunk_only,1950-02-15 12:00:00,1
exact_kerchunk_only,1950-03-17 12:00:00,1
exact_kerchunk_only,1950-04-17 00:00:00,1
exact_kerchunk_only,1950-05-17 12:00:00,1
exact_kerchunk_only,1950-06-17 00:00:00,1
exact_kerchunk_only,1950-07-17 12:00:00,1
exact_kerchunk_only,1950-08-17 12:00:00,1
exact_kerchunk_only,1950-09-17 00:00:00,1
exact_kerchunk_only,1950-10-17 12:00:00,1
exact_kerchunk_only,1950-11-17 00:00:00,1
exact_kerchunk_only,1950-12-17 12:00:00,1
exact_kerchunk_only,1951-01-17 12:00:00,1
exact_kerchunk_only,1951-02-16 00:00:00,1
exact_kerchunk_only,1951-03-17 12:00:00,1
exact_kerchunk_only,1951-04-17 00:00:00,1
exact_kerchunk_only,1951-05-17 12:00:00,1
exact_kerchunk_only,1951-06-17 00:00:00,1
exact_kerchunk_only,1951-07-17 12:00:00,1
exact_kerchunk_only,1951-08-17 12:00:00,1
exact_kerchunk_only,1951-09-17 00:00:00,1
exact_kerchunk_only,1951-10-17 12:00:00,1
exact_kerchunk_only,1951-11-17 00:00:00,1
exact_kerchunk_only,1951-12-17 12:00:00,1
exact_kerchunk_only,1952-01-17 12:00:00,1
exact_kerchunk_only,1952-02-16 00:00:00,1
exact_kerchunk_only,1954-02-15 12:00:00,1
exact_kerchunk_only,1954-03-17 12:00:00,1
exact_kerchunk_only,1954-04-17 00:00:00,1
exact_kerchunk_only,1954-05-17 12:00:00,1
exact_kerchunk_only,1954-06-17 00:00:00,1
exact_kerchunk_only,1954-07-17 12:00:00,1
exact_kerchunk_only,1954-08-17 12:00:00,1
exact_kerchunk_only,1954-09-17 00:00:00,1
exact_kerchunk_only,1954-10-17 12:00:00,1
exact_kerchunk_only,1954-11-17 00:00:00,1
exact_kerchunk_only,1954-12-17 12:00:00,1
exact_kerchunk_only,1955-01-17 12:00:00,1
exact_kerchunk_only,1955-02-16 00:00:00,1
exact_kerchunk_only,1955-03-17 12:00:00,1
exact_kerchunk_only,1955-04-17 00:00:00,1
exact_kerchunk_only,1955-05-17 12:00:00,1
exact_kerchunk_only,1955-06-17 00:00:00,1
exact_kerchunk_only,1955-07-17 12:00:00,1
exact_kerchunk_only,1955-08-17 12:00:00,1
exact_kerchunk_only,1955-09-17 00:00:00,1
exact_kerchunk_only,1955-10-17 12:00:00,1
exact_kerchunk_only,1955-11-17 00:00:00,1
exact_kerchunk_only,1955-12-17 12:00:00,1
exact_kerchunk_only,1956-01-17 12:00:00,1
exact_kerchunk_only,1956-02-16 00:00:00,1
exact_kerchunk_only,1958-02-15 12:00:00,1
exact_kerchunk_only,1958-03-17 12:00:00,1
exact_kerchunk_only,1958-04-17 00:00:00,1
exact_kerchunk_only,1958-05-17 12:00:00,1
exact_kerchunk_only,1958-06-17 00:00:00,1
exact_kerchunk_only,1958-07-17 12:00:00,1
exact_kerchunk_only,1958-08-17 12:00:00,1
exact_kerchunk_only,1958-09-17 00:00:00,1
exact_kerchunk_only,1958-10-17 12:00:00,1
exact_kerchunk_only,1958-11-17 00:00:00,1
exact_kerchunk_only,1958-12-17 12:00:00,1
exact_kerchunk_only,1959-01-17 12:00:00,1
exact_kerchunk_only,1959-02-16 00:00:00,1
exact_kerchunk_only,1959-03-17 12:00:00,1
exact_kerchunk_only,1959-04-17 00:00:00,1
exact_kerchunk_only,1959-05-17 12:00:00,1
exact_kerchunk_only,1959-06-17 00:00:00,1
exact_kerchunk_only,1959-07-17 12:00:00,1
exact_kerchunk_only,1959-08-17 12:00:00,1
exact_kerchunk_only,1959-09-17 00:00:00,1
exact_kerchunk_only,1959-10-17 12:00:00,1
exact_kerchunk_only,1959-11-17 00:00:00,1
exact_kerchunk_only,1959-12-17 12:00:00,1
exact_kerchunk_only,1960-01-17 12:00:00,1
exact_kerchunk_only,1960-02-16 00:00:00,1
exact_kerchunk_only,1962-02-15 12:00:00,1
exact_kerchunk_only,1962-03-17 12:00:00,1
exact_kerchunk_only,1962-04-17 00:00:00,1
exact_kerchunk_only,1962-05-17 12:00:00,1
exact_kerchunk_only,1962-06-17 00:00:00,1
exact_kerchunk_only,1962-07-17 12:00:00,1
exact_kerchunk_only,1962-08-17 12:00:00,1
exact_kerchunk_only,1962-09-17 00:00:00,1
exact_kerchunk_only,1962-10-17 12:00:00,1
exact_kerchunk_only,1962-11-17 00:00:00,1
exact_kerchunk_only,1962-12-17 12:00:00,1
exact_kerchunk_only,1963-01-17 12:00:00,1
exact_kerchunk_only,1963-02-16 00:00:00,1
exact_kerchunk_only,1963-03-17 12:00:00,1
exact_kerchunk_only,1963-04-17 00:00:00,1
exact_kerchunk_only,1963-05-17 12:00:00,1
exact_kerchunk_only,1963-06-17 00:00:00,1
exact_kerchunk_only,1963-07-17 12:00:00,1
exact_kerchunk_only,1963-08-17 12:00:00,1
exact_kerchunk_only,1963-09-17 00:00:00,1
exact_kerchunk_only,1963-10-17 12:00:00,1
exact_kerchunk_only,1963-11-17 00:00:00,1
exact_kerchunk_only,1963-12-17 12:00:00,1
exact_kerchunk_only,1964-01-17 12:00:00,1
exact_kerchunk_only,1964-02-16 00:00:00,1
exact_kerchunk_only,1966-02-15 12:00:00,1
exact_kerchunk_only,1966-03-17 12:00:00,1
exact_kerchunk_only,1966-04-17 00:00:00,1
exact_kerchunk_only,1966-05-17 12:00:00,1
exact_kerchunk_only,1966-06-17 00:00:00,1
exact_kerchunk_only,1966-07-17 12:00:00,1
exact_kerchunk_only,1966-08-17 12:00:00,1
exact_kerchunk_only,1966-09-17 00:00:00,1
exact_kerchunk_only,1966-10-17 12:00:00,1
exact_kerchunk_only,1966-11-17 00:00:00,1
exact_kerchunk_only,1966-12-17 12:00:00,1
exact_kerchunk_only,1967-01-17 12:00:00,1
exact_kerchunk_only,1967-02-16 00:00:00,1
exact_kerchunk_only,1967-03-17 12:00:00,1
exact_kerchunk_only,1967-04-17 00:00:00,1
exact_kerchunk_only,1967-05-17 12:00:00,1
exact_kerchunk_only,1967-06-17 00:00:00,1
exact_kerchunk_only,1967-07-17 12:00:00,1
exact_kerchunk_only,1967-08-17 12:00:00,1
exact_kerchunk_only,1967-09-17 00:00:00,1
exact_kerchunk_only,1967-10-17 12:00:00,1
exact_kerchunk_only,1967-11-17 00:00:00,1
exact_kerchunk_only,1967-12-17 12:00:00,1
exact_kerchunk_only,1968-01-17 12:00:00,1
