frequency,json,num_netcdf_files,timesteps,dims,kerchunk_time,netcdf_time
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp245/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245.r4i1p1f2.Amon.tas.gr.v20210407.kerchunk.json,31,372,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 372}",0.2553098580101505,3.4015141939744353
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp245/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp245.r16i1p1f1.Amon.tas.gr.v20201230.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.2732004649587907,7.476039634027984
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp126/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126.r118i1p1f1.Amon.tas.gr.v20210615.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.22388432500883937,6.936869703000411
Amon,/global/cfs/projectdirs/m4931/kerchunk/pr/hist-1950/mon/CMIP6.HighResMIP.ECMWF.ECMWF-IFS-LR.hist-1950.r6i1p1f1.Amon.pr.gr.v20181119.kerchunk.json,50,618,"{'lat': 181, 'bnds': 2, 'lon': 360, 'time': 618}",0.23767116200178862,3.715690222044941
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp460/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp460.r103i1p1f1.Amon.tas.gr.v20210901.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.26233795698499307,7.4980492779868655
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/mon/CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r11i1p1f2.Amon.tas.gr.v20200408.kerchunk.json,1,1980,"{'time': 1980, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.2856509610428475,0.39062750502489507
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp370/mon/CMIP6.ScenarioMIP.E3SM-Project.E3SM-2-0.ssp370.r15i1p1f1.Amon.tas.gr.v20230914.kerchunk.json,2,1032,"{'lat': 180, 'bnds': 2, 'lon': 360, 'time': 1032}",0.24383248598314822,0.411430959997233
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp585/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585.r116i1p1f1.Amon.tas.gr.v20200412.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.22088101698318496,7.679937405977398
Amon,/global/cfs/projectdirs/m4931/kerchunk/ta/historical/mon/CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r17i1p1f1.Amon.ta.gr.v20210120.kerchunk.json,165,1980,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1980, 'plev': 19}",0.550130240037106,23.493111508025322
Amon,/global/cfs/projectdirs/m4931/kerchunk/ta/historical/mon/CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r25i1p1f1.Amon.ta.gr.v20210604.kerchunk.json,165,1980,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1980, 'plev': 19}",0.4446063860086724,23.778928557992913
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r22i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",4.506036836013664,13.143884715042077
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-future/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1-HR.highresSST-future.r8i1p1f2.day.pr.gr.v20200612.kerchunk.json,4,13149,"{'time': 13149, 'lat': 360, 'lon': 720, 'axis_nbounds': 2}",0.7844278469565324,20.654542917967774
day,/global/cfs/projectdirs/m4931/kerchunk/pr/control-1950/day/CMIP6.HighResMIP.ECMWF.ECMWF-IFS-HR.control-1950.r1i1p1f1.day.pr.gr.v20170915.kerchunk.json,40,12784,"{'lat': 361, 'bnds': 2, 'lon': 720, 'time': 12784}",0.8944984800182283,11.890860969026107
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.EC-Earth-Consortium.EC-Earth3P.highresSST-present.r2i1p1f1.day.pr.gr.v20190930.kerchunk.json,65,23741,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 23741}",2.220426453044638,22.726087859016843
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1.highresSST-present.r5i1p1f2.day.pr.gr.v20200224.kerchunk.json,7,23741,"{'time': 23741, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.8783251009881496,10.468217574991286
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1.highresSST-present.r10i1p1f2.day.pr.gr.v20200224.kerchunk.json,7,23741,"{'time': 23741, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.6730643650516868,8.684662182000466
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-future/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1.highresSST-future.r5i1p1f2.day.pr.gr.v20200224.kerchunk.json,4,13149,"{'time': 13149, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.7495290570077486,4.435931303014513
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-future/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1-HR.highresSST-future.r6i1p1f2.day.pr.gr.v20200612.kerchunk.json,4,13149,"{'time': 13149, 'lat': 360, 'lon': 720, 'axis_nbounds': 2}",1.0252088609850034,20.003568312036805
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r31i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",1.2715382119640708,13.968560862005688
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r3i1p1f2.day.tas.gr.v20190125.kerchunk.json,1,60265,"{'time': 60265, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",1.391777615994215,17.191864651045762
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-future/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1-HR.highresSST-future.r2i1p1f2.day.pr.gr.v20200609.kerchunk.json,4,13149,"{'time': 13149, 'lat': 360, 'lon': 720, 'axis_nbounds': 2}",1.5279813699889928,21.720298252999783
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r11i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",1.0340796490199864,17.658466952037998
day,/global/cfs/projectdirs/m4931/kerchunk/pr/hist-1950/day/CMIP6.HighResMIP.ECMWF.ECMWF-IFS-HR.hist-1950.r2i1p1f1.day.pr.gr.v20181119.kerchunk.json,41,12784,"{'lat': 361, 'bnds': 2, 'lon': 720, 'time': 12784}",0.7299998379894532,11.487749352992978
day,/global/cfs/projectdirs/m4931/kerchunk/pr/control-1950/day/CMIP6.HighResMIP.ECMWF.ECMWF-IFS-MR.control-1950.r1i1p1f1.day.pr.gr.v20181121.kerchunk.json,39,12784,"{'lat': 181, 'bnds': 2, 'lon': 360, 'time': 12784}",0.8108414050075226,9.848889489017893
day,/global/cfs/projectdirs/m4931/kerchunk/pr/control-1950/day/CMIP6.HighResMIP.ECMWF.ECMWF-IFS-LR.control-1950.r1i1p1f1.day.pr.gr.v20180221.kerchunk.json,42,12784,"{'lat': 181, 'bnds': 2, 'lon': 360, 'time': 12784}",0.5760522569762543,10.560418760986067
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-future/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1-HR.highresSST-future.r3i1p1f2.day.pr.gr.v20200612.kerchunk.json,4,13149,"{'time': 13149, 'lat': 360, 'lon': 720, 'axis_nbounds': 2}",0.5473525659763254,20.687793340010103
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1-HR.highresSST-present.r8i1p1f2.day.pr.gr.v20200615.kerchunk.json,7,23741,"{'time': 23741, 'lat': 360, 'lon': 720, 'axis_nbounds': 2}",0.9786593499593437,36.83682012098143
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1.highresSST-present.r2i1p1f2.day.pr.gr.v20190926.kerchunk.json,7,23741,"{'time': 23741, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.8005197090096772,8.485828360018786
